Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7395315826827538,0.5059625212947189,0.7941176470588235,0.6181061394380853,0.840486708517399
Random Forest,0.7778566359119943,0.5844875346260388,0.5641711229946524,0.5741496598639456,0.8224301841948901
KNN,0.6820440028388929,0.4452662721893491,0.8048128342245989,0.5733333333333334,0.7979746312227131
